time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2024-04-06,province,on,7100.0,329,6699.0,181,230,6704.0,46,4695.0,4695.0,35,4699.0,263,4699.0,287,3134.0,214,204,411,6.83,5.6,4.63,0.69,4.35,6.13,0.75,6.11,2.7,3.43
2024-05-11,province,qc,7355.0,364,8466.0,55,386,6002.0,134,1654.0,1666.0,38,1652.0,89,,0,1530.0,48,87,441,3.14,5.39,4.95,2.23,5.26,5.21,2.28,,0.65,4.56
2024-05-18,nation,ca,25259.0,2064,24202.0,160,581,21771.0,216,8563.0,8608.0,134,8514.0,302,6999.0,752,7061.0,186,603,741,2.63,3.55,8.17,0.99,7.04,3.06,1.56,10.74,0.66,2.4
2024-05-18,province,bc,2982.0,363,3217.0,57,45,3211.0,16,818.0,818.0,19,818.0,37,791.0,128,791.0,21,81,102,2.65,4.52,12.17,0.5,9.9,3.17,2.32,16.18,1.77,1.4
2024-05-18,province,on,5798.0,511,5264.0,21,40,5264.0,14,3898.0,3899.0,36,3899.0,148,3899.0,301,2517.0,63,230,61,2.5,3.8,8.81,0.27,5.9,1.16,0.92,7.72,0.4,0.76
2024-05-18,province,qc,7113.0,438,7668.0,26,275,5699.0,102,1540.0,1562.0,44,1539.0,63,,0,1437.0,34,74,301,2.37,4.09,6.16,1.79,4.81,3.93,2.82,,0.34,3.59
2024-05-25,nation,ca,23789.0,1875,22042.0,110,322,20107.0,165,8378.0,8406.0,130,8336.0,200,6808.0,780,6960.0,139,592,432,2.0,2.4,7.88,0.82,7.07,1.96,1.55,11.46,0.5,1.46
2024-05-25,province,bc,2910.0,317,2978.0,37,37,2978.0,7,831.0,831.0,21,831.0,29,810.0,120,810.0,5,83,74,0.62,3.49,10.89,0.24,9.99,2.48,2.53,14.81,1.24,1.24
2024-05-25,province,on,5434.0,433,4779.0,20,16,4752.0,5,3806.0,3806.0,38,3808.0,98,3808.0,311,2511.0,55,246,36,2.19,2.57,7.97,0.11,6.46,0.75,1.0,8.17,0.42,0.33
2024-05-25,province,qc,6510.0,407,6659.0,24,125,5180.0,102,1553.0,1564.0,38,1553.0,45,,0,1442.0,28,80,149,1.94,2.9,6.25,1.97,5.15,2.24,2.43,,0.36,1.88
2024-06-01,nation,ca,22885.0,1945,20520.0,232,185,18888.0,123,8080.0,8112.0,89,8021.0,201,6616.0,753,6696.0,120,514,417,1.79,2.51,8.5,0.65,6.36,2.03,1.1,11.38,1.13,0.9
2024-06-01,province,bc,2843.0,317,2923.0,154,30,2922.0,9,838.0,838.0,17,838.0,22,806.0,113,806.0,18,83,184,2.23,2.63,11.15,0.31,9.9,6.3,2.03,14.02,5.27,1.03
2024-06-01,province,on,5371.0,380,4749.0,22,12,4725.0,8,3628.0,3628.0,25,3631.0,84,3631.0,326,2389.0,30,186,34,1.26,2.31,7.08,0.17,5.13,0.71,0.69,8.98,0.46,0.25
2024-06-01,province,qc,6016.0,492,5784.0,15,62,4531.0,61,1439.0,1451.0,30,1440.0,64,,0,1326.0,19,63,77,1.43,4.44,8.18,1.35,4.38,1.33,2.07,,0.26,1.07
2024-06-08,province,pe,104.0,14,47.0,0,0,47.0,0,9.0,9.0,0,9.0,0,9.0,3,9.0,0,1,0,0.0,0.0,13.462,0.0,11.111,0.0,0.0,33.333,0.0,0.0
2024-06-08,nation,ca,22518.0,2189,17867.0,104,98,16269.0,68,7521.0,7541.0,106,7482.0,147,6133.0,724,6103.0,87,445,202,1.43,1.96,9.72,0.42,5.92,1.13,1.41,11.8,0.58,0.55
2024-06-08,province,bc,2901.0,430,2698.0,39,13,2698.0,3,683.0,683.0,15,683.0,14,662.0,116,662.0,9,70,52,1.36,2.05,14.82,0.11,10.25,1.93,2.2,17.52,1.45,0.48
2024-06-08,province,on,5387.0,375,4503.0,16,9,4484.0,10,3458.0,3458.0,26,3457.0,68,3457.0,318,2152.0,28,168,25,1.3,1.97,6.96,0.22,4.86,0.56,0.75,9.2,0.36,0.2
2024-05-11,province,on,6071.0,473,5593.0,30,61,5592.0,19,4051.0,4051.0,30,4053.0,174,4053.0,323,2693.0,84,262,91,3.12,4.29,7.79,0.34,6.47,1.63,0.74,7.97,0.54,1.09
2024-05-11,province,bc,3142.0,412,3375.0,73,88,3302.0,18,863.0,863.0,15,863.0,34,847.0,141,847.0,19,76,161,2.24,3.94,13.11,0.55,8.81,4.77,1.74,16.65,2.16,2.61
2024-05-11,nation,ca,26246.0,1950,26311.0,242,863,23182.0,248,8820.0,8842.0,113,8748.0,342,7153.0,736,7344.0,249,617,1105,3.39,3.91,7.43,1.07,7.0,4.2,1.28,10.29,0.92,3.28
2024-04-20,province,on,6469.0,298,5976.0,95,140,5976.0,40,4271.0,4271.0,42,4271.0,250,4273.0,333,2807.0,146,241,235,5.2,5.85,4.61,0.67,5.64,3.93,0.98,7.79,1.59,2.34
2024-04-06,province,qc,8696.0,207,9682.0,247,788,6714.0,206,1640.0,1657.0,50,1639.0,115,,0,1495.0,94,57,1035,6.29,7.02,2.38,3.07,3.48,10.69,3.02,,2.55,8.14
