epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
202334,2023-08-26,2023-08-31,region,territories,101.0,10.0,60.0,0.0,0.0,60.0,1.0,,,,,,0.0,0.0,,,0.0,0.0,,,9.900990099009901,1.6666666666666667,,0.0,,0.0,0.0,0.0
202334,2023-08-26,2023-08-31,nation,ca,23381.0,3133.0,13226.0,66.0,6.0,12310.0,63.0,5480.0,5499.0,91.0,5006.0,15.0,4547.0,570.0,4447.0,26.0,118.0,72.0,0.5846638183044749,0.2996404314822213,13.399769043240237,0.511779041429732,2.153284671532847,0.5443822773325269,1.6548463356973995,12.535737849131296,0.4990170875548163,0.04536518977771057
202333,2023-08-19,2023-08-24,lab,nl,306.0,42.0,213.0,0.0,0.0,213.0,4.0,213.0,213.0,5.0,213.0,0.0,213.0,60.0,213.0,2.0,6.0,0.0,0.9389671361502347,0.0,13.725490196078432,1.8779342723004695,2.8169014084507045,0.0,2.3474178403755865,28.169014084507044,0.0,0.0
202333,2023-08-19,2023-08-24,lab,pe,109.0,10.0,7.0,0.0,0.0,7.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,9.174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202333,2023-08-19,2023-08-24,lab,ns,767.0,114.0,364.0,11.0,0.0,364.0,2.0,21.0,21.0,1.0,21.0,0.0,21.0,6.0,21.0,0.0,1.0,11.0,0.0,0.0,14.863102998696217,0.5494505494505495,4.761904761904762,3.021978021978022,4.761904761904762,28.57142857142857,3.021978021978022,0.0
202333,2023-08-19,2023-08-24,lab,nb,534.0,36.0,317.0,1.0,0.0,305.0,0.0,47.0,47.0,1.0,47.0,0.0,47.0,8.0,47.0,0.0,1.0,1.0,0.0,0.0,6.741573033707865,0.0,2.127659574468085,0.31545741324921134,2.127659574468085,17.02127659574468,0.31545741324921134,0.0
202333,2023-08-19,2023-08-24,region,atlantic,1716.0,202.0,901.0,12.0,0.0,889.0,6.0,286.0,286.0,7.0,286.0,0.0,286.0,74.0,286.0,2.0,8.0,12.0,0.6993006993006993,0.0,11.771561771561771,0.6749156355455568,2.797202797202797,1.3318534961154271,2.4475524475524475,25.874125874125873,1.3318534961154271,0.0
202333,2023-08-19,2023-08-24,lab,région nord-est,1089.0,148.0,906.0,1.0,0.0,150.0,0.0,39.0,39.0,3.0,39.0,0.0,,,39.0,0.0,3.0,1.0,0.0,0.0,13.590449954086317,0.0,7.6923076923076925,0.11037527593818984,7.6923076923076925,,0.11037527593818984,0.0
202333,2023-08-19,2023-08-24,lab,québec-chaudière-appalaches,1650.0,219.0,351.0,0.0,0.0,351.0,4.0,152.0,167.0,3.0,152.0,1.0,,,152.0,1.0,2.0,0.0,0.6578947368421052,0.6578947368421052,13.272727272727272,1.1396011396011396,1.3157894736842104,0.0,1.7964071856287425,,0.0,0.0
202333,2023-08-19,2023-08-24,lab,centre-du-québec,1091.0,136.0,174.0,1.0,0.0,174.0,2.0,42.0,42.0,1.0,42.0,0.0,,,42.0,0.0,1.0,1.0,0.0,0.0,12.465627864344638,1.1494252873563218,2.380952380952381,0.5747126436781609,2.380952380952381,,0.5747126436781609,0.0
