time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2018-06-30,province,qc,0.21,0.22
2018-06-30,province,on,0.36,0.36
2017-09-09,province,bc,0.0,11.4
2018-06-09,region,atlantic,5.29,1.35
2018-06-09,province,on,0.61,0.9
2018-05-05,region,prairies,3.33,6.67
2018-05-12,region,territories,2.7,2.7
2018-05-19,region,prairies,2.38,2.92
2018-05-19,region,atlantic,5.74,11.25
2018-05-19,province,qc,3.72,2.15
2017-09-16,nation,ca,0.52,1.78
2018-05-19,province,on,2.15,2.46
2018-05-19,province,bc,2.33,0.47
2018-05-19,nation,ca,3.1,3.19
2018-05-12,region,prairies,3.5,3.63
2017-09-09,region,atlantic,1.18,0.0
2018-05-12,region,atlantic,5.78,16.43
2017-09-16,province,bc,0.0,2.38
2018-05-12,province,qc,3.66,3.08
2018-05-12,province,on,1.16,4.69
2018-05-12,province,bc,2.69,2.25
2018-05-12,nation,ca,3.24,4.96
2018-05-05,region,territories,0.0,3.45
2018-05-19,region,territories,0.0,0.0
2018-05-26,nation,ca,1.86,2.97
2018-05-26,province,bc,1.75,0.58
2018-05-26,province,on,1.37,2.52
2018-06-09,province,bc,2.5,0.63
2018-06-09,nation,ca,1.37,0.88
2018-06-02,region,territories,0.0,0.0
2018-06-02,region,prairies,1.54,1.0
2018-06-02,region,atlantic,3.53,7.87
2018-06-02,province,qc,1.95,2.01
2017-09-09,region,prairies,0.34,1.99
2018-06-02,province,on,1.06,1.62
2018-06-02,province,bc,1.29,1.94
2018-06-02,nation,ca,1.73,2.19
2018-05-26,region,territories,0.0,7.69
2018-05-26,region,prairies,1.17,2.1
2018-05-26,region,atlantic,3.61,10.5
2018-05-26,province,qc,2.25,2.25
2017-09-09,region,territories,11.11,22.22
2018-03-03,nation,ca,6.54,29.07
2018-02-24,region,territories,3.92,23.08
2018-02-24,region,prairies,5.35,21.09
2017-11-25,region,prairies,0.07,24.0
2017-12-02,region,atlantic,0.65,4.62
2017-10-07,region,prairies,0.22,2.59
2017-12-02,province,qc,7.78,5.32
2017-12-02,province,on,5.19,5.14
2017-12-02,province,bc,1.36,14.98
2017-12-02,nation,ca,3.75,14.87
2017-11-25,region,territories,3.57,13.34
2017-10-07,region,territories,0.0,3.7
2017-11-18,region,atlantic,1.39,2.77
2017-11-25,region,atlantic,0.79,3.97
2017-11-25,province,qc,8.06,3.75
2017-11-25,province,on,4.36,2.57
2017-11-25,province,bc,2.47,9.04
2017-11-25,nation,ca,3.71,10.55
2017-11-18,region,territories,0.0,3.57
2017-10-14,nation,ca,0.75,3.02
2017-12-02,region,prairies,0.28,30.22
2017-12-02,region,territories,0.0,18.92
2017-12-09,nation,ca,4.87,18.5
2017-12-09,province,bc,2.24,23.53
2017-12-23,nation,ca,6.52,24.94
2017-12-16,region,territories,0.0,38.36
2017-12-16,region,prairies,0.47,37.3
2017-12-16,region,atlantic,3.37,14.19
2017-12-16,province,qc,11.04,12.2
2017-12-16,province,on,6.49,7.83
2017-10-07,province,qc,1.16,2.4
2017-12-16,province,bc,1.05,12.87
2017-12-16,nation,ca,5.39,20.76
2017-12-09,region,territories,0.0,26.67
2017-12-09,region,prairies,0.41,34.69
2017-12-09,region,atlantic,2.44,2.7
2017-12-09,province,qc,10.35,9.44
2017-10-07,region,atlantic,0.0,2.5
2017-12-09,province,on,5.96,5.47
2017-11-18,region,prairies,0.35,16.71
2017-11-18,province,qc,5.02,2.95
2017-12-23,province,bc,3.14,39.37
2017-10-28,nation,ca,1.11,4.59
2017-10-28,region,territories,0.0,6.9
2017-10-28,region,prairies,0.45,9.13
2017-10-28,region,atlantic,0.0,6.23
2017-10-28,province,qc,3.04,1.51
2017-10-28,province,on,0.47,1.11
2017-10-14,region,atlantic,0.92,2.8
2017-10-28,province,bc,1.86,5.59
2017-10-21,region,territories,0.0,11.11
2017-11-18,province,on,2.58,3.2
2017-10-21,region,prairies,0.68,5.6
2017-10-21,region,atlantic,4.76,8.33
2017-10-14,region,prairies,0.0,3.89
2017-10-21,province,qc,1.23,0.82
2017-10-21,province,on,1.91,0.88
2017-10-21,province,bc,0.93,6.17
2017-10-21,nation,ca,1.34,3.4
