time_value,geo_type,geo_value,sarscov2_pct_positive,rsv_pct_positive,flu_pct_positive
2023-01-28,province,qc,9.48,5.81,1.46
2023-07-15,region,prairies,3.57,0.17,0.52
2023-07-15,region,atlantic,10.13,0.19,0.09
2023-07-15,province,qc,5.38,0.81,0.27
2023-07-15,province,on,7.26,0.38,1.38
2022-09-10,province,on,12.04,1.0,0.18
2023-07-15,province,bc,8.24,0.24,1.56
2023-07-01,province,on,5.44,0.38,0.45
2023-01-28,nation,ca,11.35,7.97,1.06
2022-09-24,province,qc,13.36,5.56,0.26
2023-06-10,region,territories,1.39,4.55,1.82
2023-06-17,province,on,7.09,0.14,0.97
2022-09-17,region,territories,13.2,2.46,0.82
2023-06-17,province,bc,9.51,0.17,1.25
2023-06-17,nation,ca,6.69,0.32,1.04
2022-09-24,nation,ca,13.61,1.4,0.5
2023-01-21,region,atlantic,17.29,8.67,1.2
2023-02-04,region,prairies,8.89,10.04,1.36
2023-06-10,region,prairies,4.81,0.23,0.93
2023-01-21,region,prairies,9.01,12.38,1.41
2023-06-10,region,atlantic,15.17,0.64,0.19
2022-09-24,province,bc,6.99,0.33,1.25
2023-06-10,province,qc,7.42,0.55,1.54
2023-06-10,province,on,6.34,0.27,1.66
2022-09-24,province,on,12.35,0.98,0.38
2023-06-10,province,bc,8.89,0.39,1.8
2023-06-10,nation,ca,7.44,0.41,1.31
2023-06-17,province,qc,5.7,0.75,1.39
2022-09-17,region,prairies,16.2,0.66,0.17
2023-07-01,province,bc,8.7,0.17,1.66
2023-06-24,province,on,6.36,0.12,0.88
2023-07-01,nation,ca,5.79,0.37,0.71
2022-09-17,province,bc,6.7,0.38,0.22
2023-06-24,region,territories,3.09,0.0,1.39
2023-06-24,region,prairies,3.98,0.13,0.44
2023-06-24,region,atlantic,11.19,0.62,0.14
2022-09-17,province,on,12.72,0.6,0.33
2023-06-24,province,qc,5.41,0.69,1.2
2022-09-17,province,qc,12.17,3.51,0.23
2023-06-17,region,atlantic,12.45,0.54,0.54
2023-01-21,region,territories,8.42,11.11,0.0
2023-02-04,region,atlantic,18.95,7.91,0.25
2023-06-24,province,bc,8.01,0.46,2.25
2023-06-24,nation,ca,6.18,0.34,0.95
2023-06-17,region,territories,3.73,0.0,5.05
2022-09-17,region,atlantic,18.93,0.97,0.12
2023-06-17,region,prairies,4.26,0.19,0.78
2023-05-06,province,on,8.48,0.5,2.06
2023-02-18,province,qc,11.17,3.64,1.36
2022-09-03,region,territories,9.27,7.83,0.0
2022-12-10,province,on,12.3,7.62,13.16
2022-11-12,province,on,13.83,7.01,13.32
2023-04-01,region,prairies,10.22,1.26,1.33
2022-11-12,province,qc,10.58,16.88,7.54
2022-12-10,province,qc,13.37,6.37,25.25
2023-03-11,province,bc,11.28,5.19,1.46
2023-04-01,region,atlantic,16.47,2.41,0.66
2022-11-12,region,atlantic,14.36,9.16,11.43
2023-03-11,province,on,11.34,1.4,0.98
2022-12-10,region,atlantic,13.82,5.77,28.55
2022-11-12,region,prairies,13.92,3.49,27.97
2023-04-01,province,qc,9.38,1.88,4.91
