time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2023-01-14,province,on,19450.0,2995.3,9531.0,122.9499,7.6248000000000005,9531.0,675.7479000000001,6446.0,6446.0,72.19520000000001,6464.0,115.70559999999999,6464.0,261.79200000000003,4805.0,174.90200000000002,181.7772,130.5747,3.64,1.79,15.4,7.09,2.82,1.37,1.12,4.05,1.29,0.08
2023-02-04,region,territories,258.0,14.989799999999999,101.0,0.0,0.0,101.0,11.998800000000001,,,,,,,,,,,0.0,,,5.81,11.88,,0.0,,,0.0,0.0
2022-10-15,nation,ca,93092.0,15434.653599999998,16307.0,234.8208,1.6307,14337.0,504.66240000000005,5998.0,6013.0,122.06389999999999,6027.0,100.0482,5161.0,861.887,4922.0,49.22,211.1296,236.45149999999998,1.0,1.66,16.58,3.52,3.52,1.45,2.03,16.7,1.44,0.01
2022-10-08,region,prairies,14766.0,2443.773,3181.0,27.992800000000003,0.9542999999999999,2807.0,17.9648,1386.0,1386.0,17.0478,1414.0,17.9578,1365.0,270.9525,1414.0,17.9578,51.004799999999996,28.947100000000002,1.27,1.27,16.55,0.64,3.68,0.91,1.23,19.85,0.88,0.03
2023-01-07,region,atlantic,9934.0,1798.0540000000003,5460.0,269.178,0.0,5144.0,461.93120000000005,802.0,802.0,29.9948,802.0,27.9898,802.0,25.0224,802.0,87.9794,25.0224,269.178,10.97,3.49,18.1,8.98,3.12,4.93,3.74,3.12,4.93,0.0
2023-05-13,province,bc,2794.0,388.92479999999995,2436.0,7.064399999999999,6.09,2434.0,11.926599999999999,599.0,599.0,31.9866,599.0,25.9966,578.0,102.017,578.0,19.016199999999998,34.9816,13.154399999999999,3.29,4.34,13.92,0.49,5.84,0.5399999999999999,5.34,17.65,0.29,0.25
2023-05-13,nation,ca,31622.0,3035.712,18936.0,124.9776,276.4656,16607.0,119.57039999999999,6623.0,6651.0,196.86960000000002,6646.0,166.81459999999998,5821.0,642.0563,5486.0,189.8156,270.8807,401.4432,3.46,2.51,9.6,0.72,4.09,2.12,2.96,11.03,0.66,1.46
2022-10-08,region,territories,496.0,30.008,141.0,6.0066,0.0,141.0,3.0033,,,,,,,,,,,6.0066,,,6.05,2.13,,4.26,,,4.26,0.0
2023-01-07,province,qc,24748.0,3383.0516,10659.0,735.4710000000001,14.922600000000003,6335.0,409.24100000000004,1017.0,1027.0,66.96039999999999,1018.0,32.983200000000004,,,1017.0,51.968700000000005,32.95080000000001,750.3936000000001,5.11,3.24,13.67,6.46,3.24,7.04,6.52,,6.9,0.14
2023-05-06,region,territories,201.0,6.9948,149.0,0.0,18.9975,149.0,8.999600000000001,,,,,,,,,,,18.9975,,,3.48,6.04,,12.75,,,0.0,12.75
