time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2023-06-03,province,mb,1035.0,76,938.0,4,5,938.0,3,73.0,73.0,1,93.0,2,73.0,24,93.0,5,2,9
2023-05-27,province,pe,80.0,7,6.0,0,1,6.0,0,3.0,3.0,2,3.0,0,3.0,0,3.0,0,0,1
2023-05-27,province,ab,2565.0,167,2246.0,14,28,2170.0,3,734.0,734.0,15,734.0,0,734.0,73,734.0,11,19,42
2023-05-27,province,sk,1398.0,74,528.0,9,2,492.0,0,191.0,191.0,7,190.0,1,191.0,40,191.0,3,23,11
2023-05-27,territory,nt,15.0,3,13.0,0,0,13.0,3,,,0,,0,13.0,4,,0,0,0
2023-05-27,territory,nu,121.0,2,95.0,0,9,95.0,2,,,0,,0,,0,,0,0,9
2023-05-27,territory,yk,57.0,7,16.0,0,0,16.0,0,,,0,,0,,0,,0,0,0
2023-05-27,province,mb,1083.0,101,868.0,3,1,868.0,1,87.0,87.0,1,103.0,1,87.0,16,103.0,1,9,4
2023-05-27,province,nb,657.0,80,627.0,0,1,619.0,4,88.0,88.0,2,88.0,2,88.0,10,88.0,3,10,1
2023-05-27,province,nl,399.0,39,265.0,2,0,265.0,6,265.0,265.0,5,265.0,2,265.0,20,265.0,30,22,2
2023-05-27,province,ns,1175.0,200,670.0,1,0,670.0,4,20.0,23.0,3,23.0,0,23.0,8,23.0,1,1,1
2023-05-20,province,ab,2979.0,239,1968.0,16,25,1893.0,5,719.0,719.0,13,719.0,0,719.0,96,719.0,16,22,41
2023-05-20,province,mb,1104.0,102,933.0,3,10,933.0,1,86.0,86.0,2,94.0,1,86.0,14,94.0,1,2,13
2023-05-20,province,nb,615.0,85,599.0,3,1,593.0,5,89.0,89.0,5,89.0,0,89.0,11,89.0,8,7,4
2023-05-20,territory,nt,14.0,1,12.0,2,1,12.0,1,,,0,,0,12.0,1,,0,0,3
2023-05-20,province,pe,104.0,4,11.0,0,0,11.0,0,2.0,2.0,0,2.0,0,2.0,0,2.0,0,0,0
2023-05-20,province,sk,1507.0,93,613.0,23,4,557.0,2,239.0,239.0,9,239.0,4,239.0,49,239.0,6,14,27
2023-05-20,province,nl,392.0,36,257.0,6,1,257.0,9,257.0,257.0,4,257.0,1,257.0,30,257.0,16,14,7
2023-05-20,territory,yk,60.0,4,11.0,0,0,11.0,0,,,0,,0,,0,,0,0,0
2023-05-20,province,ns,1352.0,260,756.0,1,1,756.0,4,19.0,19.0,1,19.0,0,19.0,3,19.0,1,0,2
2023-05-20,territory,nu,82.0,4,63.0,0,8,63.0,2,,,0,,0,,0,,0,0,8
2023-05-13,territory,nu,136.0,3,101.0,0,12,101.0,8,,,0,,0,,0,,0,0,12
2023-05-13,province,ns,1370.0,254,764.0,2,1,764.0,4,22.0,22.0,2,22.0,0,22.0,3,22.0,0,1,3
2023-05-13,province,nl,421.0,54,259.0,1,2,259.0,11,259.0,259.0,3,259.0,4,259.0,24,259.0,13,11,3
2023-05-13,province,nb,666.0,84,629.0,1,1,586.0,4,60.0,60.0,2,60.0,3,60.0,8,60.0,0,4,2
2023-05-13,province,mb,1226.0,131,984.0,3,9,984.0,4,95.0,95.0,2,116.0,3,95.0,28,116.0,1,8,12
2023-05-13,province,pe,100.0,9,27.0,1,0,27.0,2,1.0,1.0,0,1.0,0,1.0,1,1.0,0,0,1
2023-05-13,territory,yk,36.0,1,14.0,0,0,14.0,0,,,0,,0,,0,,0,0,0
2023-05-13,territory,nt,18.0,0,18.0,0,0,18.0,3,,,0,,0,18.0,5,,0,0,0
2023-05-13,province,sk,1633.0,127,650.0,26,5,617.0,2,265.0,264.0,5,262.0,1,264.0,49,264.0,11,24,31
2023-05-13,province,ab,3285.0,315,2131.0,20,42,2056.0,5,697.0,697.0,10,697.0,0,697.0,77,697.0,25,18,62
2023-05-06,territory,yk,48.0,3,23.0,0,0,23.0,0,,,0,,0,,0,,0,0,0
2023-05-06,territory,nu,134.0,2,110.0,0,13,110.0,5,,,0,,0,,0,,0,0,13
2023-05-06,province,ns,1425.0,239,756.0,2,2,756.0,9,28.0,28.0,3,28.0,1,28.0,8,28.0,4,2,4
