epiweek,time_value,issue,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,fluah1n1pdm09_positive_tests,fluah3_positive_tests,fluauns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,hpiv1_positive_tests,hpiv2_positive_tests,hpiv3_positive_tests,hpiv4_positive_tests,hpivother_positive_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,evrv_tests,evrv_positive_tests,hcov_tests,hcov_positive_tests,flu_positive_tests
202422,2024-06-01,2024-06-07,lab,nl,700,85,621,0,0,3,3,8,621,16,621,1,3,49,1,0,621,8,621,17,621,93,621,10,NA
202422,2024-06-01,2024-06-07,lab,pe,113,7,68,0,0,0,0,0,68,0,13,0,1,0,0,0,13,0,13,1,13,7,13,0,NA
202422,2024-06-01,2024-06-07,lab,ns,950,67,877,0,0,0,0,4,789,4,29,0,0,1,0,0,29,0,29,1,29,5,29,1,NA
202422,2024-06-01,2024-06-07,lab,nb,814,31,800,1,1,0,2,10,800,4,117,0,3,10,0,0,117,2,117,2,117,17,117,3,NA
202422,2024-06-01,2024-06-07,region,atlantic,2577,190,2366,1,1,3,5,22,2278,24,780,1,7,60,1,0,780,10,780,21,780,122,780,14,NA
202422,2024-06-01,2024-06-07,lab,région nord est,881,71,835,0,0,5,5,19,448,4,101,0,0,11,0,0,101,1,101,6,NA,NA,101,0,NA
202422,2024-06-01,2024-06-07,lab,québec chaudière appalaches,1147,124,1217,0,0,1,1,4,1161,22,530,0,0,14,0,0,541,13,530,27,NA,NA,411,6,NA
202422,2024-06-01,2024-06-07,lab,centre du québec,1251,93,1153,0,0,1,1,8,584,9,26,0,0,2,0,0,26,3,26,2,NA,NA,27,1,NA
202422,2024-06-01,2024-06-07,lab,montréal laval,1245,81,1174,0,0,3,3,15,941,11,694,0,1,34,0,0,694,9,695,24,NA,NA,694,10,NA
202422,2024-06-01,2024-06-07,lab,ouest du québec,696,52,438,0,0,3,3,9,434,2,33,0,0,0,0,0,33,4,33,2,NA,NA,33,0,NA
202422,2024-06-01,2024-06-07,lab,montérégie,796,71,920,0,0,2,2,6,916,12,3,0,0,0,0,0,3,0,3,0,NA,NA,3,0,NA
202422,2024-06-01,2024-06-07,region,qc,6016,492,5737,0,0,15,15,61,4484,60,1387,0,1,61,0,0,1398,30,1388,61,NA,NA,1269,17,NA
202422,2024-06-01,2024-06-07,lab,phol ottawa,141,42,88,0,0,0,0,2,88,0,63,0,0,0,0,11,63,0,63,2,63,4,63,0,NA
202422,2024-06-01,2024-06-07,lab,eorla,635,29,355,0,0,0,0,0,355,4,34,0,0,0,0,0,34,0,34,1,34,8,34,1,NA
202422,2024-06-01,2024-06-07,lab,phol kingston,108,36,113,0,0,0,0,0,113,0,86,0,0,0,0,5,86,0,86,5,86,10,86,2,NA
202422,2024-06-01,2024-06-07,lab,uhn mount sinai hospital,849,42,567,0,0,2,2,0,567,1,77,0,0,1,0,0,77,0,77,1,77,4,77,0,NA
202422,2024-06-01,2024-06-07,lab,phol toronto,247,69,708,6,6,0,6,1,707,0,683,0,0,0,0,62,683,14,683,34,683,85,683,17,NA
202422,2024-06-01,2024-06-07,lab,sick kids hospital toronto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202422,2024-06-01,2024-06-07,lab,shared hospital laboratory,1213,36,936,1,1,0,2,3,936,2,940,0,0,0,0,9,940,4,943,10,943,51,943,3,NA
202422,2024-06-01,2024-06-07,lab,phol sault ste marie,8,0,18,0,0,0,0,0,18,0,15,0,0,0,0,2,15,1,15,0,15,0,15,0,NA
202422,2024-06-01,2024-06-07,lab,phol timmins,26,9,29,0,0,0,0,0,29,0,23,0,0,0,0,0,23,0,23,3,23,5,23,0,NA
202422,2024-06-01,2024-06-07,lab,st josephs london,373,7,211,0,0,0,0,0,211,0,64,0,0,0,0,5,64,0,64,0,64,3,64,0,NA
202422,2024-06-01,2024-06-07,lab,phol london,250,35,240,0,0,0,0,1,240,0,218,0,0,0,0,32,218,0,218,11,218,29,218,5,NA
202422,2024-06-01,2024-06-07,lab,phol orillia,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0,NA
202422,2024-06-01,2024-06-07,lab,phol thunder bay,37,7,30,0,0,0,0,0,30,0,26,0,0,0,0,2,26,0,26,0,26,3,26,0,NA
202422,2024-06-01,2024-06-07,lab,phol sudbury,11,0,14,0,0,0,0,0,14,0,12,0,0,0,0,2,12,0,12,1,12,0,12,1,NA
202422,2024-06-01,2024-06-07,lab,phol hamilton,24,10,35,3,4,0,3,0,33,0,33,0,0,0,0,1,33,1,33,0,33,8,33,0,NA
202422,2024-06-01,2024-06-07,lab,phol peterborough,56,2,70,0,0,0,0,0,70,0,44,0,0,0,0,11,44,0,44,0,44,10,44,1,NA
202422,2024-06-01,2024-06-07,lab,st josephs hamilton,1304,50,1242,0,0,5,5,5,1242,1,1242,0,0,39,0,0,1242,4,1242,16,1242,101,0,0,NA
202422,2024-06-01,2024-06-07,lab,sault area hospital,86,6,69,1,0,0,1,0,69,0,63,1,0,3,0,0,63,1,63,0,63,5,63,0,NA
202422,2024-06-01,2024-06-07,region,on,5371,380,4728,11,11,7,19,12,4725,8,3626,1,0,43,0,142,3626,25,3629,84,3629,326,2387,30,NA
202422,2024-06-01,2024-06-07,lab,mb,990,84,786,1,0,7,8,6,786,1,94,1,0,12,1,0,94,0,94,0,94,24,94,1,NA
202422,2024-06-01,2024-06-07,lab,sk,1070,77,796,0,0,2,2,10,686,8,279,0,0,24,0,0,279,1,279,4,279,49,279,10,NA
202422,2024-06-01,2024-06-07,lab,ab,3767,390,2676,8,11,0,20,39,2541,5,801,6,1,52,0,0,801,6,737,4,789,76,801,28,NA
202422,2024-06-01,2024-06-07,region,prairies,5827,551,4258,9,11,9,30,55,4013,14,1174,7,1,88,1,0,1174,7,1110,8,1162,149,1174,39,NA
202422,2024-06-01,2024-06-07,region,bc,2841,312,2769,6,5,0,40,30,2768,9,688,2,1,63,3,0,688,14,688,19,656,83,656,16,NA
