epiweek,time_value,issue,geo_type,geo_value,weekorder,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
202443,2024-10-26,2024-11-07,region,qc,9,9971.0,1453.0,7412.0,19.0,11.0,8.0,6553.0,218.0,1794.0,1813.0,60.0,1797.0,4.0,1850.0,301.0,1680.0,18.0,46.0,1.0714285714285714,0.2225932109070673,14.572259552702835,3.326720585991149,2.564102564102564,0.2563410685375067,3.309431880860452,16.27027027027027,0.1484079870480302,0.1079330814894765
202443,2024-10-26,2024-11-07,lab,phol - ottawa,9,199.0,77.0,204.0,0.0,0.0,0.0,204.0,2.0,146.0,146.0,0.0,146.0,0.0,146.0,12.0,146.0,0.0,2.0,0.0,0.0,38.69346733668342,0.9803921568627452,1.36986301369863,0.0,0.0,8.21917808219178,0.0,0.0
202443,2024-10-26,2024-11-07,lab,eorla,9,793.0,116.0,543.0,3.0,3.0,0.0,543.0,15.0,109.0,109.0,3.0,109.0,0.0,109.0,22.0,109.0,1.0,8.0,0.9174311926605504,0.0,14.627994955863809,2.7624309392265194,7.339449541284404,0.5524861878453038,2.752293577981652,20.18348623853211,0.5524861878453038,0.0
202443,2024-10-26,2024-11-07,lab,phol - kingston,9,183.0,80.0,152.0,0.0,0.0,0.0,152.0,1.0,114.0,114.0,0.0,114.0,0.0,114.0,15.0,114.0,0.0,1.0,0.0,0.0,43.71584699453552,0.6578947368421052,0.8771929824561403,0.0,0.0,13.157894736842104,0.0,0.0
202443,2024-10-26,2024-11-07,lab,phol - peterborough,9,56.0,20.0,94.0,1.0,1.0,0.0,94.0,4.0,59.0,59.0,2.0,59.0,0.0,59.0,6.0,59.0,0.0,3.0,0.0,0.0,35.714285714285715,4.25531914893617,5.084745762711865,1.0638297872340423,3.389830508474576,10.16949152542373,1.0638297872340423,0.0
202443,2024-10-26,2024-11-07,lab,phol - toronto,9,1417.0,504.0,1437.0,7.0,7.0,0.0,1437.0,19.0,1176.0,1176.0,7.0,1176.0,4.0,1176.0,247.0,1176.0,4.0,46.0,0.3401360544217687,0.3401360544217687,35.5681016231475,1.3221990257480862,3.91156462585034,0.4871259568545582,0.5952380952380952,21.00340136054422,0.4871259568545582,0.0
202443,2024-10-26,2024-11-07,lab,uhn / mount sinai hospital,9,1045.0,151.0,1007.0,5.0,4.0,1.0,1007.0,3.0,84.0,84.0,0.0,84.0,1.0,84.0,10.0,84.0,0.0,1.0,0.0,1.1904761904761905,14.44976076555024,0.2979145978152929,1.1904761904761905,0.4965243296921549,0.0,11.904761904761903,0.3972194637537239,0.0993048659384309
202443,2024-10-26,2024-11-07,lab,sick kids hospital - toronto,9,118.0,7.0,147.0,0.0,0.0,0.0,147.0,5.0,147.0,147.0,2.0,147.0,0.0,147.0,34.0,147.0,2.0,2.0,1.3605442176870748,0.0,5.932203389830509,3.401360544217688,1.3605442176870748,0.0,1.3605442176870748,23.12925170068027,0.0,0.0
202443,2024-10-26,2024-11-07,lab,shared hospital laboratory,9,1881.0,131.0,1410.0,5.0,5.0,0.0,1410.0,13.0,1410.0,1410.0,7.0,1410.0,1.0,1410.0,92.0,1410.0,1.0,22.0,0.0709219858156028,0.0709219858156028,6.964380648591175,0.9219858156028368,1.5602836879432624,0.3546099290780142,0.4964539007092199,6.524822695035461,0.3546099290780142,0.0
202443,2024-10-26,2024-11-07,lab,phol - hamilton,9,69.0,23.0,83.0,1.0,1.0,0.0,83.0,0.0,75.0,75.0,3.0,75.0,0.0,75.0,14.0,75.0,0.0,11.0,0.0,0.0,33.33333333333333,0.0,14.666666666666666,1.2048192771084338,4.0,18.666666666666668,1.2048192771084338,0.0
