time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests
2016-08-27,province,pe,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0
2016-08-27,province,on,375.0,2,0,373.0,5,355.0,375.0,3,354.0,3,184.0,34,165.0,1,20,2
2016-08-27,province,ns,8.0,0,0,8.0,0,2.0,2.0,0,2.0,0,2.0,0,2.0,0,0,0
2016-08-27,province,nl,37.0,0,0,37.0,2,37.0,37.0,1,37.0,0,37.0,5,,0,0,0
2016-08-27,province,nb,23.0,1,0,9.0,0,9.0,10.0,0,0.0,0,0.0,0,0.0,0,2,1
2016-08-27,province,mb,111.0,0,0,103.0,4,74.0,74.0,0,29.0,0,74.0,6,29.0,1,2,0
2016-08-27,province,bc,155.0,5,0,155.0,0,77.0,77.0,0,77.0,0,77.0,13,77.0,0,5,5
2016-08-27,province,ab,275.0,4,1,275.0,0,275.0,275.0,2,275.0,1,275.0,41,275.0,1,6,5
2016-06-25,province,bc,96.0,9,0,96.0,4,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,9
2016-01-16,province,qc,1777.0,27,5,1413.0,234,492.0,514.0,13,413.0,4,0.0,0,401.0,7,15,32
2015-10-10,province,bc,205.0,16,2,205.0,1,82.0,82.0,1,82.0,0,82.0,34,82.0,1,0,18
2016-05-14,province,qc,1813.0,27,253,1423.0,38,522.0,538.0,8,418.0,14,0.0,0,410.0,4,16,280
2016-05-21,province,on,1163.0,18,91,1099.0,29,769.0,768.0,14,750.0,14,300.0,52,255.0,9,25,109
2016-08-13,nation,ca,1544.0,7,1,1522.0,28,1296.0,1318.0,27,1167.0,4,797.0,146,941.0,9,64,8
2016-01-30,province,bc,543.0,90,102,543.0,28,183.0,183.0,2,183.0,24,183.0,19,183.0,11,3,192
2015-12-26,province,bc,282.0,7,20,282.0,9,165.0,165.0,1,165.0,15,165.0,35,165.0,1,5,27
2015-12-26,province,qc,905.0,12,0,638.0,88,127.0,158.0,8,105.0,0,0.0,0,105.0,3,3,12
2015-10-03,province,qc,531.0,2,0,515.0,11,373.0,388.0,6,292.0,0,0.0,0,285.0,1,15,2
2015-10-10,nation,ca,2443.0,45,5,2380.0,8,2076.0,2090.0,29,1924.0,2,1242.0,429,1394.0,7,68,50
2015-12-26,nation,ca,3487.0,79,36,3134.0,232,2191.0,2248.0,72,2162.0,95,1298.0,184,1314.0,27,147,115
2016-01-30,province,on,1612.0,165,23,1425.0,242,1164.0,1164.0,17,1166.0,22,389.0,27,301.0,23,27,188
2016-05-21,nation,ca,3911.0,60,297,3567.0,159,2207.0,2233.0,40,2001.0,51,1183.0,236,1421.0,47,86,357
2015-09-05,province,on,529.0,0,1,530.0,1,394.0,381.0,5,370.0,3,213.0,48,137.0,1,9,1
2016-08-13,province,bc,104.0,1,1,104.0,4,61.0,61.0,0,61.0,0,61.0,10,61.0,0,1,2
2016-05-21,province,qc,1480.0,15,148,1225.0,32,492.0,519.0,11,389.0,12,0.0,0,379.0,5,17,163
2016-05-14,province,on,1324.0,40,92,1202.0,52,1027.0,1027.0,13,911.0,28,366.0,61,321.0,27,30,132
2016-06-25,province,on,612.0,0,2,612.0,8,438.0,440.0,9,434.0,4,186.0,35,163.0,8,38,2
2015-10-03,province,on,779.0,20,3,706.0,2,599.0,588.0,4,586.0,0,268.0,74,173.0,3,19,23
2015-12-26,province,on,1355.0,29,4,1328.0,107,1044.0,1068.0,37,1078.0,16,309.0,38,276.0,6,57,33
2016-01-30,nation,ca,5873.0,725,208,5262.0,631,3604.0,3626.0,57,3412.0,177,2214.0,164,2480.0,94,100,933
2016-05-28,nation,ca,3224.0,32,162,2904.0,119,1816.0,1827.0,38,1648.0,53,966.0,187,1177.0,25,109,194
2016-05-21,province,bc,166.0,4,3,166.0,7,41.0,41.0,1,41.0,2,41.0,17,41.0,2,8,7
2016-01-02,nation,ca,4272.0,141,42,3688.0,352,2342.0,2357.0,61,2205.0,84,1256.0,181,1582.0,44,119,183
2015-09-19,province,bc,114.0,12,0,114.0,0,51.0,51.0,0,51.0,0,51.0,19,51.0,0,1,12
2016-01-23,province,on,1560.0,105,15,1403.0,173,1059.0,1052.0,26,1062.0,12,487.0,43,408.0,34,30,120
2016-01-23,province,qc,1713.0,44,4,1444.0,257,546.0,567.0,18,463.0,10,0.0,0,456.0,18,3,48
2016-08-06,province,qc,402.0,2,0,389.0,5,330.0,348.0,5,262.0,4,0.0,0,252.0,0,12,2
2016-01-30,province,qc,1840.0,99,23,1525.0,268,589.0,611.0,12,510.0,9,0.0,0,499.0,10,4,122
2015-09-05,nation,ca,1498.0,6,3,1465.0,7,1225.0,1237.0,17,1097.0,12,732.0,199,835.0,4,33,9
2016-08-20,province,sk,192.0,1,0,192.0,11,192.0,192.0,5,192.0,0,192.0,58,192.0,0,7,1
2016-08-20,province,nb,13.0,0,0,13.0,2,16.0,16.0,0,0.0,0,0.0,0,0.0,0,0,0
2016-08-20,province,nl,29.0,0,0,29.0,0,29.0,29.0,4,29.0,0,29.0,4,,0,2,0
2016-08-20,province,ns,3.0,0,0,3.0,0,3.0,3.0,0,3.0,0,3.0,0,3.0,0,0,0
2016-08-20,province,pe,1.0,0,0,1.0,0,1.0,1.0,0,1.0,0,1.0,0,1.0,0,1,0
2016-08-20,territory,nt,4.0,1,0,4.0,0,4.0,4.0,0,4.0,0,4.0,0,4.0,0,0,1
