time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive
2021-05-29,province,mb,0.0,0.0
2021-05-29,province,nb,0.0,0.0
2021-05-29,province,ns,0.0,0.0
2021-05-22,territory,nu,0.0,0.0
2021-05-22,territory,nt,0.0,0.0
2021-05-22,province,sk,0.0,0.0
2021-05-22,province,ab,0.0,0.0
2021-05-22,province,mb,0.0,0.051
2021-05-22,province,nb,0.0,0.0
2021-05-22,province,nl,0.0,0.0
2021-05-22,province,ns,0.0,0.0
2021-05-22,territory,yk,0.0,0.0
2021-05-22,province,pe,0.0,0.0
2021-05-15,province,pe,0.0,0.0
2021-05-15,province,ab,0.0,0.052
2021-05-15,province,ns,0.0,0.0
2021-05-15,province,nl,0.0,0.0
2021-05-15,province,nb,0.0,0.0
2021-05-15,province,mb,0.0,0.043
2021-05-15,territory,yk,0.0,0.0
2021-05-15,territory,nu,0.0,0.0
2021-05-15,territory,nt,0.0,0.0
2021-05-15,province,sk,0.0,0.0
2021-05-08,province,ab,0.0,0.0
2021-05-08,territory,nu,0.0,0.0
2021-05-08,territory,nt,0.0,0.0
2021-05-08,province,sk,0.0,0.0
2021-05-08,province,pe,0.0,0.0
2021-05-08,province,ns,0.0,0.0
2021-05-08,province,mb,0.0,0.0
2021-05-08,province,nb,0.0,0.0
2021-05-08,province,nl,0.0,0.0
2021-05-08,territory,yk,0.0,0.0
2021-05-01,province,sk,0.0,0.009
2021-05-01,province,pe,0.0,0.0
2021-05-01,province,ab,0.0,0.0
2021-05-01,province,ns,0.0,0.0
2021-05-01,province,nl,0.0,0.0
2021-05-01,province,nb,0.0,0.0
2021-05-01,province,mb,0.0,0.0
2021-05-01,territory,yk,0.0,0.0
2021-05-01,territory,nu,0.0,0.0
2021-05-01,territory,nt,0.0,0.0
2021-04-24,territory,nu,0.0,0.0
2021-04-24,province,pe,0.0,0.0
2021-04-24,province,sk,0.0,0.0
2021-04-24,territory,nt,0.0,0.0
2021-04-24,territory,yk,0.0,0.0
2021-04-24,province,ab,0.0,0.0
2021-04-24,province,mb,0.0,0.0
2021-04-24,province,nb,0.0,0.0
2021-04-24,province,nl,0.0,0.0
2021-04-24,province,ns,0.0,0.0
2021-04-17,territory,yk,0.0,0.0
2021-04-17,territory,nu,0.0,0.0
2021-04-17,territory,nt,0.0,0.0
2021-04-17,province,sk,0.0,0.0
2021-04-17,province,pe,0.459,0.0
2021-04-17,province,ns,0.0,0.0
2021-04-17,province,nl,0.0,0.0
2021-04-17,province,nb,0.0,0.0
2021-04-17,province,mb,0.0,0.0
2021-04-17,province,ab,0.0,0.0
2021-04-10,province,ab,0.0,0.0
2021-04-10,province,nl,0.0,0.0
2021-04-10,province,mb,0.0,0.135
2021-04-10,province,ns,0.0,0.0
2021-04-10,province,nb,0.0,0.0
2021-04-10,province,pe,0.0,0.0
2021-04-10,territory,yk,0.0,0.0
2021-04-10,territory,nu,0.0,0.0
2021-04-10,territory,nt,0.0,0.0
2021-04-10,province,sk,0.0,0.0
2021-04-03,province,ns,0.0,0.0
2021-04-03,province,nb,0.0,0.0
2021-04-03,province,nl,0.0,0.0
2021-04-03,province,pe,0.0,0.0
2021-04-03,province,mb,0.0,0.0
2021-04-03,province,ab,0.0,0.0
2021-04-03,territory,yk,0.0,0.0
2021-04-03,province,sk,0.0,0.0
2021-04-03,territory,nt,0.0,0.0
2021-04-03,territory,nu,0.0,0.0
2021-03-27,territory,yk,0.0,0.0
2021-03-27,territory,nu,0.0,0.0
2021-03-27,territory,nt,0.0,0.0
2021-03-27,province,nb,0.0,0.0
2021-03-27,province,nl,0.0,0.0
2021-03-27,province,ns,0.0,0.0
2021-03-27,province,sk,0.074,0.0
2021-03-27,province,mb,0.0,0.0
2021-03-27,province,pe,0.0,0.0
2021-03-27,province,ab,0.0,0.0
2021-03-20,territory,nu,0.0,0.0
2021-03-20,territory,yk,0.0,0.0
2021-03-20,territory,nt,0.0,0.0
2021-03-20,province,sk,0.0,0.0
2021-03-20,province,ab,0.0,0.0
2021-03-20,province,ns,0.0,0.0
2021-03-20,province,nl,0.0,0.0
2021-03-20,province,pe,0.0,0.0
2021-03-20,province,mb,0.0,0.0
2021-03-20,province,nb,0.0,0.0
2021-03-13,province,ns,0.0,0.0
2021-03-13,province,nl,0.0,0.0
2021-03-13,province,mb,0.0,0.0
2021-03-13,province,nb,0.0,0.0
2021-03-13,province,pe,0.0,0.0
2021-03-13,province,sk,0.0,0.0
2021-03-13,territory,nt,0.0,0.0
2021-03-13,territory,nu,0.0,0.0
2021-03-13,territory,yk,0.0,0.0
2021-03-13,province,ab,0.0,0.0
2021-03-06,province,sk,0.0,0.0
2021-03-06,territory,nt,0.0,0.0
2021-03-06,territory,nu,0.0,0.0
2021-03-06,territory,yk,0.0,0.0
2021-03-06,province,ab,0.0,0.0
2021-03-06,province,mb,0.0,0.0
2021-03-06,province,nl,0.0,0.0
2021-03-06,province,ns,0.0,0.0
2021-03-06,province,pe,0.0,0.0
2021-03-06,province,nb,0.0,0.0
2021-02-27,province,ab,0.0,0.0
2021-02-27,province,ns,0.0,0.0
2021-02-27,province,pe,0.0,0.0
2021-02-27,province,mb,0.0,0.0
2021-02-27,province,nb,0.0,0.0
2021-02-27,province,nl,0.0,0.0
2021-02-27,territory,nt,0.0,0.0
2021-02-27,territory,nu,0.0,0.0
2021-02-27,territory,yk,0.0,0.0
2021-02-27,province,sk,0.0,0.0
2021-02-20,territory,yk,0.0,0.0
2021-02-20,territory,nu,0.0,0.0
2021-02-20,territory,nt,0.0,0.0
2021-02-20,province,sk,0.0,0.0
2021-02-20,province,ns,0.0,0.0
2021-02-20,province,nl,0.0,0.0
2021-02-20,province,nb,0.0,0.0
2021-02-20,province,pe,0.0,0.0
2021-02-20,province,mb,0.19,0.0
2021-02-20,province,ab,0.0,0.044
2021-02-13,province,pe,0.0,0.0
2021-02-13,province,ab,0.0,0.044
2021-02-13,province,mb,0.0,0.0
2021-02-13,province,nb,0.0,0.0
2021-02-13,province,nl,0.48,0.24
2021-02-13,province,sk,0.0,0.0
2021-02-13,territory,yk,,
2021-02-13,territory,nu,0.0,0.0
2021-02-13,territory,nt,0.0,0.0
2021-02-13,province,ns,0.0,0.0
