reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-01-25,2025-01-18,-1,prairies,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-18,-1,prairies,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-01-18,-1,prairies,pct wk flu lab det,quantile,0.25,2.8749999999999982
2025-01-25,2025-01-18,-1,prairies,pct wk flu lab det,quantile,0.5,11.6
2025-01-25,2025-01-18,-1,prairies,pct wk flu lab det,quantile,0.75,13
2025-01-25,2025-01-18,-1,prairies,pct wk flu lab det,quantile,0.9,13
2025-01-25,2025-01-18,-1,prairies,pct wk flu lab det,quantile,0.975,16.673374999999997
2025-01-25,2025-01-18,-1,bc,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-18,-1,bc,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-01-18,-1,bc,pct wk flu lab det,quantile,0.25,6.574999999999999
2025-01-25,2025-01-18,-1,bc,pct wk flu lab det,quantile,0.5,15.3
2025-01-25,2025-01-18,-1,bc,pct wk flu lab det,quantile,0.75,15.3
2025-01-25,2025-01-18,-1,bc,pct wk flu lab det,quantile,0.9,15.3
2025-01-25,2025-01-18,-1,bc,pct wk flu lab det,quantile,0.975,18.523374999999994
2025-01-25,2025-01-18,-1,territories,pct wk flu lab det,quantile,0.025,0
2025-01-25,2025-01-18,-1,territories,pct wk flu lab det,quantile,0.1,0
2025-01-25,2025-01-18,-1,territories,pct wk flu lab det,quantile,0.25,2.7749999999999986
2025-01-25,2025-01-18,-1,territories,pct wk flu lab det,quantile,0.5,11.5
2025-01-25,2025-01-18,-1,territories,pct wk flu lab det,quantile,0.75,16.4
2025-01-25,2025-01-18,-1,territories,pct wk flu lab det,quantile,0.9,16.4
2025-01-25,2025-01-18,-1,territories,pct wk flu lab det,quantile,0.975,16.623374999999996
2025-01-25,2025-01-25,0,ca,pct wk flu lab det,quantile,0.025,1.7224999999999966
2025-01-25,2025-01-25,0,ca,pct wk flu lab det,quantile,0.1,4.259999999999998
