time_value,geo_type,geo_value,flu_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,flu_positive_tests,hcov_pct_positive,hmpv_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
2013-12-07,province,pe,7.0,0,0,5.0,0,2.0,2.0,0,2.0,0,2.0,0,2.0,0,1,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
2013-12-07,province,ns,42.0,0,0,43.0,1,38.0,38.0,0,38.0,0,38.0,4,38.0,0,3,0,0.0,0.0,2.3255813953488373,7.894736842105263,0.0,0.0,10.526315789473683,0.0,0.0
2013-12-07,province,nl,35.0,0,0,39.0,0,39.0,39.0,0,39.0,0,,0,,0,5,0,,0.0,0.0,12.82051282051282,0.0,0.0,,0.0,0.0
2013-12-07,province,nb,83.0,0,0,36.0,0,36.0,33.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-07,province,mb,108.0,0,1,63.0,1,67.0,67.0,3,18.0,1,67.0,3,18.0,0,1,1,0.0,5.555555555555555,1.5873015873015872,1.4925373134328357,0.9259259259259258,4.477611940298507,4.477611940298507,0.0,0.9259259259259258
2013-11-30,province,sk,166.0,4,0,166.0,0,166.0,166.0,12,166.0,2,166.0,27,166.0,2,24,4,1.2048192771084338,1.2048192771084338,0.0,14.457831325301203,2.4096385542168677,7.228915662650602,16.265060240963855,2.4096385542168677,0.0
2013-11-30,province,nl,33.0,2,0,34.0,0,34.0,34.0,1,34.0,0,,0,,0,0,2,,0.0,0.0,0.0,6.0606060606060606,2.941176470588235,,6.0606060606060606,0.0
2013-11-30,province,nb,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-30,province,ab,439.0,35,0,439.0,9,439.0,439.0,7,439.0,7,439.0,51,439.0,1,23,35,0.22779043280182232,1.5945330296127564,2.050113895216401,5.239179954441914,7.972665148063782,1.5945330296127564,11.617312072892938,7.972665148063782,0.0
2013-11-30,province,mb,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-30,province,ns,24.0,0,0,26.0,0,23.0,23.0,0,23.0,1,23.0,1,23.0,0,4,0,0.0,4.3478260869565215,0.0,17.391304347826086,0.0,0.0,4.3478260869565215,0.0,0.0
2013-11-30,province,pe,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-23,province,sk,179.0,2,0,179.0,0,179.0,179.0,10,179.0,1,179.0,24,179.0,2,22,2,1.1173184357541899,0.5586592178770949,0.0,12.290502793296088,1.1173184357541899,5.58659217877095,13.40782122905028,1.1173184357541899,0.0
2013-11-23,province,pe,6.0,0,0,3.0,0,2.0,2.0,1,2.0,0,2.0,0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
2013-11-23,province,mb,104.0,3,1,58.0,2,57.0,57.0,0,14.0,0,57.0,4,14.0,0,2,4,0.0,0.0,3.4482758620689653,3.508771929824561,3.8461538461538463,0.0,7.017543859649122,2.8846153846153846,0.9615384615384616
2013-11-23,province,nb,81.0,0,0,23.0,0,20.0,29.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-23,province,nl,37.0,0,0,30.0,0,30.0,30.0,1,30.0,0,,0,,0,0,0,,0.0,0.0,0.0,0.0,3.3333333333333335,,0.0,0.0
2013-11-23,province,ns,29.0,0,0,29.0,0,29.0,29.0,0,29.0,0,29.0,2,29.0,0,3,0,0.0,0.0,0.0,10.344827586206897,0.0,0.0,6.896551724137931,0.0,0.0
2013-11-23,province,ab,441.0,16,3,441.0,4,441.0,441.0,7,441.0,6,441.0,74,441.0,3,37,19,0.6802721088435374,1.3605442176870748,0.9070294784580499,8.390022675736962,4.308390022675737,1.5873015873015872,16.780045351473923,3.6281179138321997,0.6802721088435374
2013-11-16,province,ab,436.0,18,0,436.0,10,436.0,436.0,13,436.0,3,436.0,81,436.0,6,38,18,1.3761467889908259,0.6880733944954129,2.293577981651376,8.715596330275229,4.128440366972478,2.981651376146789,18.577981651376145,4.128440366972478,0.0
2013-11-16,province,mb,60.0,1,0,33.0,0,35.0,35.0,0,11.0,0,35.0,3,11.0,0,2,1,0.0,0.0,0.0,5.714285714285714,1.6666666666666667,0.0,8.571428571428571,1.6666666666666667,0.0
2013-11-16,province,nb,27.0,1,0,22.0,0,22.0,22.0,0,0.0,0,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,0.0,3.7037037037037033,0.0
2013-11-16,province,nl,20.0,0,0,13.0,0,13.0,13.0,0,13.0,0,,0,,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2013-11-16,province,ns,21.0,0,0,30.0,0,20.0,20.0,0,20.0,0,20.0,5,20.0,0,2,0,0.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0,0.0
2013-11-16,province,pe,11.0,0,0,6.0,0,5.0,5.0,0,5.0,0,5.0,2,5.0,0,4,0,0.0,0.0,0.0,80.0,0.0,0.0,40.0,0.0,0.0
2013-11-16,province,sk,162.0,3,0,162.0,0,162.0,162.0,7,162.0,2,162.0,24,162.0,2,21,3,1.2345679012345678,1.2345679012345678,0.0,12.962962962962962,1.8518518518518516,4.320987654320987,14.814814814814813,1.8518518518518516,0.0
2013-11-09,province,mb,82.0,2,0,44.0,0,51.0,51.0,5,13.0,0,51.0,3,13.0,0,0,2,0.0,0.0,0.0,0.0,2.4390243902439024,9.803921568627452,5.88235294117647,2.4390243902439024,0.0
2013-11-09,province,ab,493.0,10,3,493.0,4,493.0,493.0,10,493.0,2,493.0,95,493.0,0,43,13,0.0,0.4056795131845842,0.8113590263691683,8.72210953346856,2.636916835699797,2.028397565922921,19.26977687626775,2.028397565922921,0.6085192697768762
2013-11-09,province,nb,70.0,0,0,17.0,0,19.0,19.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
