time_value,geo_type,geo_value,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests
2024-09-14,province,sk,1310.0,171,938.0,9,7,2,847.0,4,354.0,354.0,1,354.0,0,354.0,53,354.0,0,4
2024-09-14,territory,nt,37.0,7,37.0,1,1,0,37.0,0,,37.0,0,37.0,0,37.0,11,,0,0
2024-09-14,territory,nu,97.0,9,65.0,1,0,1,65.0,1,,,0,,0,,0,,0,0
2024-09-14,province,bc,2919.0,551,2832.0,59,57,2,2826.0,9,713.0,713.0,5,713.0,6,704.0,110,704.0,7,10
2024-09-07,province,pe,123.0,25,38.0,0,0,0,38.0,0,11.0,11.0,1,11.0,0,11.0,4,11.0,0,0
2024-09-07,province,qc,9733.0,2180,6078.0,22,18,4,5030.0,60,1412.0,1429.0,22,1402.0,3,1469.0,188,1340.0,21,23
2024-09-07,province,sk,1140.0,151,828.0,7,5,2,759.0,1,322.0,322.0,3,322.0,0,322.0,60,322.0,2,3
2024-09-07,territory,nt,42.0,10,42.0,0,0,0,42.0,0,,42.0,0,42.0,0,42.0,16,,0,0
2024-09-07,territory,nu,91.0,5,80.0,1,1,0,80.0,0,,,0,,0,,0,,0,0
2024-09-07,territory,yk,33.0,6,24.0,0,0,0,24.0,0,,,0,,0,,0,,0,0
2024-09-14,nation,ca,30470.0,5685,20610.0,112,102,10,19058.0,118,8498.0,8547.0,62,8481.0,21,8590.0,1133,7096.0,49,105
2024-09-14,province,ab,3571.0,415,1087.0,8,6,2,935.0,3,934.0,932.0,9,845.0,7,912.0,147,934.0,4,5
