epiweek,time_value,issue,geo_type,geo_value,week,date,sarscov2_tests,sarscov2_positive_tests,flu_tests,flu_positive_tests,flu_ah1pdm09_positive_tests,flu_ah3_positive_tests,flu_auns_positive_tests,flua_positive_tests,flub_positive_tests,rsv_tests,rsv_positive_tests,hpiv_tests,adv_tests,adv_positive_tests,hmpv_tests,hmpv_positive_tests,ev_rv_tests,ev_rv_positive_tests,hcov_tests,hcov_positive_tests,hpiv_positive_tests,hcov_pct_positive,hmpv_pct_positive,sarscov2_pct_positive,rsv_pct_positive,hpiv_pct_positive,flu_pct_positive,adv_pct_positive,ev_rv_pct_positive,flua_pct_positive,flub_pct_positive
202439,2024-09-28,2024-10-03,lab,phol - london,35,2024-08-31,231.0,86.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,0.0,185.0,185.0,1.0,185.0,0.0,185.0,11.0,185.0,1.0,3.0,0.5405405405405406,0.0,37.22943722943723,0.0,1.6216216216216217,0.0,0.5405405405405406,5.9459459459459465,0.0,0.0
202439,2024-09-28,2024-10-03,lab,st joseph's - london,35,2024-08-31,490.0,77.0,69.0,1.0,0.0,0.0,0.0,0.0,1.0,69.0,1.0,68.0,68.0,1.0,68.0,0.0,68.0,6.0,68.0,1.0,0.0,1.4705882352941175,0.0,15.714285714285714,1.4492753623188406,0.0,1.4492753623188406,1.4705882352941175,8.823529411764707,0.0,1.4492753623188406
202439,2024-09-28,2024-10-03,lab,phol - orillia,35,2024-08-31,21.0,13.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,15.0,15.0,0.0,15.0,0.0,15.0,2.0,15.0,0.0,0.0,0.0,0.0,61.904761904761905,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0
202439,2024-09-28,2024-10-03,lab,phol - sudbury,35,2024-08-31,11.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0,1.0,11.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0
202439,2024-09-28,2024-10-03,lab,phol - timmins,35,2024-08-31,28.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,10.0,10.0,1.0,10.0,0.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,10.0,10.0,0.0,0.0
202439,2024-09-28,2024-10-03,lab,phol - sault ste marie,35,2024-08-31,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
202439,2024-09-28,2024-10-03,lab,sault area hospital,35,2024-08-31,76.0,8.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,56.0,56.0,0.0,56.0,0.0,56.0,3.0,56.0,0.0,1.0,0.0,0.0,10.526315789473683,0.0,1.7857142857142856,0.0,0.0,5.357142857142857,0.0,0.0
202439,2024-09-28,2024-10-03,lab,phol - thunder bay,35,2024-08-31,20.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,21.0,0.0,21.0,0.0,21.0,1.0,21.0,0.0,2.0,0.0,0.0,30.0,0.0,9.523809523809524,0.0,0.0,4.761904761904762,0.0,0.0
202439,2024-09-28,2024-10-03,region,on,35,2024-08-31,6459.0,995.0,5205.0,20.0,7.0,8.0,6.0,18.0,2.0,5205.0,13.0,3723.0,3723.0,14.0,3747.0,7.0,3747.0,254.0,2406.0,8.0,57.0,0.3325020781379884,0.1868161195623165,15.404861433658462,0.24975984630163303,1.5310233682514103,0.38424591738712777,0.37604082728982,6.778756338404057,0.345821325648415,0.03842459173871278
202439,2024-09-28,2024-10-03,lab,mb,35,2024-08-31,1095.0,188.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,1.0,43.0,43.0,1.0,83.0,0.0,43.0,11.0,83.0,0.0,3.0,0.0,0.0,17.168949771689498,0.3115264797507788,6.976744186046512,0.0,2.3255813953488373,25.581395348837212,0.0,0.0
